bucket,count,date
7000,19,2016-05-05-18
8000,10,2016-05-05-18
9000,6,2016-05-05-18
1,0,2016-05-03-19
2,0,2016-05-03-19
3,0,2016-05-03-19
4,2,2016-05-03-19
5,2,2016-05-03-19
6,1,2016-05-03-19
7,2,2016-05-03-19
8,6,2016-05-03-19
9,7,2016-05-03-19
10,226,2016-05-03-19
20,456,2016-05-03-19
30,507,2016-05-03-19
40,492,2016-05-03-19
50,409,2016-05-03-19
60,364,2016-05-03-19
70,297,2016-05-03-19
80,224,2016-05-03-19
90,202,2016-05-03-19
100,2082,2016-05-03-19
200,1514,2016-05-03-19
300,1186,2016-05-03-19
400,392,2016-05-03-19
500,254,2016-05-03-19
600,160,2016-05-03-19
700,114,2016-05-03-19
800,85,2016-05-03-19
900,55,2016-05-03-19
1000,253,2016-05-03-19
2000,118,2016-05-03-19
3000,47,2016-05-03-19
4000,38,2016-05-03-19
5000,11,2016-05-03-19
6000,14,2016-05-03-19
7000,20,2016-05-03-19
8000,11,2016-05-03-19
9000,4,2016-05-03-19
1,0,2016-05-03-22
2,0,2016-05-03-22
3,0,2016-05-03-22
4,2,2016-05-03-22
5,2,2016-05-03-22
6,0,2016-05-03-22
7,7,2016-05-03-22
8,8,2016-05-03-22
9,15,2016-05-03-22
10,220,2016-05-03-22
20,449,2016-05-03-22
30,674,2016-05-03-22
40,529,2016-05-03-22
50,469,2016-05-03-22
60,358,2016-05-03-22
70,337,2016-05-03-22
80,235,2016-05-03-22
90,195,2016-05-03-22
100,1968,2016-05-03-22
200,1508,2016-05-03-22
300,1160,2016-05-03-22
400,379,2016-05-03-22
500,235,2016-05-03-22
600,130,2016-05-03-22
700,102,2016-05-03-22
800,91,2016-05-03-22
900,57,2016-05-03-22
1000,269,2016-05-03-22
2000,81,2016-05-03-22
3000,49,2016-05-03-22
4000,36,2016-05-03-22
5000,24,2016-05-03-22
6000,10,2016-05-03-22
7000,11,2016-05-03-22
8000,8,2016-05-03-22
9000,5,2016-05-03-22
1,1,2016-05-04-19
2,0,2016-05-04-19
3,0,2016-05-04-19
4,0,2016-05-04-19
5,2,2016-05-04-19
6,2,2016-05-04-19
7,9,2016-05-04-19
8,3,2016-05-04-19
9,8,2016-05-04-19
10,244,2016-05-04-19
20,406,2016-05-04-19
30,501,2016-05-04-19
40,447,2016-05-04-19
50,418,2016-05-04-19
60,338,2016-05-04-19
70,293,2016-05-04-19
80,257,2016-05-04-19
90,194,2016-05-04-19
100,2042,2016-05-04-19
200,1466,2016-05-04-19
300,1166,2016-05-04-19
400,423,2016-05-04-19
500,238,2016-05-04-19
600,148,2016-05-04-19
700,106,2016-05-04-19
800,71,2016-05-04-19
900,58,2016-05-04-19
1000,223,2016-05-04-19
2000,99,2016-05-04-19
3000,43,2016-05-04-19
4000,31,2016-05-04-19
5000,24,2016-05-04-19
6000,19,2016-05-04-19
7000,8,2016-05-04-19
8000,13,2016-05-04-19
9000,5,2016-05-04-19
1,0,2016-05-06-20
2,1,2016-05-06-20
3,0,2016-05-06-20
4,1,2016-05-06-20
5,0,2016-05-06-20
6,2,2016-05-06-20
7,7,2016-05-06-20
8,5,2016-05-06-20
9,10,2016-05-06-20
10,214,2016-05-06-20
20,433,2016-05-06-20
30,561,2016-05-06-20
40,489,2016-05-06-20
50,457,2016-05-06-20
60,368,2016-05-06-20
70,282,2016-05-06-20
80,281,2016-05-06-20
90,190,2016-05-06-20
100,2012,2016-05-06-20
200,1502,2016-05-06-20
300,1168,2016-05-06-20
400,397,2016-05-06-20
500,252,2016-05-06-20
600,154,2016-05-06-20
700,121,2016-05-06-20
800,78,2016-05-06-20
900,60,2016-05-06-20
1000,260,2016-05-06-20
2000,83,2016-05-06-20
3000,50,2016-05-06-20
4000,29,2016-05-06-20
5000,13,2016-05-06-20
6000,8,2016-05-06-20
7000,9,2016-05-06-20
8000,13,2016-05-06-20
9000,6,2016-05-06-20
1,0,2016-05-03-21
2,0,2016-05-03-21
3,1,2016-05-03-21
4,2,2016-05-03-21
5,0,2016-05-03-21
6,2,2016-05-03-21
7,4,2016-05-03-21
8,6,2016-05-03-21
9,11,2016-05-03-21
10,241,2016-05-03-21
20,428,2016-05-03-21
30,610,2016-05-03-21
40,522,2016-05-03-21
50,500,2016-05-03-21
60,398,2016-05-03-21
70,322,2016-05-03-21
80,262,2016-05-03-21
90,218,2016-05-03-21
100,1944,2016-05-03-21
200,1478,2016-05-03-21
300,1027,2016-05-03-21
400,378,2016-05-03-21
500,199,2016-05-03-21
600,147,2016-05-03-21
700,106,2016-05-03-21
800,68,2016-05-03-21
900,53,2016-05-03-21
1000,267,2016-05-03-21
2000,92,2016-05-03-21
3000,41,2016-05-03-21
4000,27,2016-05-03-21
5000,21,2016-05-03-21
6000,18,2016-05-03-21
7000,11,2016-05-03-21
8000,6,2016-05-03-21
9000,11,2016-05-03-21
1,0,2016-05-05-13
2,0,2016-05-05-13
3,1,2016-05-05-13
4,0,2016-05-05-13
5,6,2016-05-05-13
6,7,2016-05-05-13
7,8,2016-05-05-13
8,6,2016-05-05-13
9,6,2016-05-05-13
10,171,2016-05-05-13
20,352,2016-05-05-13
30,435,2016-05-05-13
40,461,2016-05-05-13
50,373,2016-05-05-13
60,333,2016-05-05-13
70,329,2016-05-05-13
80,227,2016-05-05-13
90,193,2016-05-05-13
100,2013,2016-05-05-13
200,1470,2016-05-05-13
300,1194,2016-05-05-13
400,404,2016-05-05-13
500,226,2016-05-05-13
600,143,2016-05-05-13
700,101,2016-05-05-13
800,66,2016-05-05-13
900,54,2016-05-05-13
1000,270,2016-05-05-13
2000,94,2016-05-05-13
3000,40,2016-05-05-13
4000,34,2016-05-05-13
5000,19,2016-05-05-13
6000,20,2016-05-05-13
7000,14,2016-05-05-13
8000,10,2016-05-05-13
9000,5,2016-05-05-13
1,0,2016-05-12-22
2,0,2016-05-12-22
3,0,2016-05-12-22
4,0,2016-05-12-22
5,1,2016-05-12-22
6,1,2016-05-12-22
7,3,2016-05-12-22
8,6,2016-05-12-22
9,6,2016-05-12-22
10,211,2016-05-12-22
20,440,2016-05-12-22
30,666,2016-05-12-22
40,539,2016-05-12-22
50,426,2016-05-12-22
60,358,2016-05-12-22
70,306,2016-05-12-22
80,261,2016-05-12-22
90,193,2016-05-12-22
100,1959,2016-05-12-22
200,1538,2016-05-12-22
300,1195,2016-05-12-22
400,426,2016-05-12-22
500,213,2016-05-12-22
600,147,2016-05-12-22
700,105,2016-05-12-22
800,85,2016-05-12-22
900,58,2016-05-12-22
1000,266,2016-05-12-22
2000,98,2016-05-12-22
3000,45,2016-05-12-22
4000,34,2016-05-12-22
5000,19,2016-05-12-22
6000,15,2016-05-12-22
7000,14,2016-05-12-22
8000,13,2016-05-12-22
9000,7,2016-05-12-22
1,0,2016-05-09-23
2,0,2016-05-09-23
3,0,2016-05-09-23
4,1,2016-05-09-23
5,2,2016-05-09-23
6,2,2016-05-09-23
7,7,2016-05-09-23
8,4,2016-05-09-23
9,6,2016-05-09-23
10,143,2016-05-09-23
20,429,2016-05-09-23
30,582,2016-05-09-23
40,518,2016-05-09-23
50,538,2016-05-09-23
60,443,2016-05-09-23
70,373,2016-05-09-23
80,252,2016-05-09-23
90,222,2016-05-09-23
100,1882,2016-05-09-23
200,1405,2016-05-09-23
300,1144,2016-05-09-23
400,389,2016-05-09-23
500,213,2016-05-09-23
600,127,2016-05-09-23
700,98,2016-05-09-23
800,58,2016-05-09-23
900,57,2016-05-09-23
1000,242,2016-05-09-23
2000,99,2016-05-09-23
3000,51,2016-05-09-23
4000,34,2016-05-09-23
5000,30,2016-05-09-23
6000,14,2016-05-09-23
7000,11,2016-05-09-23
8000,12,2016-05-09-23
9000,4,2016-05-09-23
1,0,2016-05-08-01
2,0,2016-05-08-01
3,0,2016-05-08-01
4,1,2016-05-08-01
5,1,2016-05-08-01
6,1,2016-05-08-01
7,2,2016-05-08-01
8,3,2016-05-08-01
9,1,2016-05-08-01
10,130,2016-05-08-01
20,403,2016-05-08-01
30,676,2016-05-08-01
40,624,2016-05-08-01
50,612,2016-05-08-01
60,472,2016-05-08-01
70,415,2016-05-08-01
80,285,2016-05-08-01
90,252,2016-05-08-01
100,1794,2016-05-08-01
200,1391,2016-05-08-01
300,1126,2016-05-08-01
400,348,2016-05-08-01
500,208,2016-05-08-01
600,132,2016-05-08-01
700,86,2016-05-08-01
800,62,2016-05-08-01
900,57,2016-05-08-01
1000,243,2016-05-08-01
2000,83,2016-05-08-01
3000,33,2016-05-08-01
4000,27,2016-05-08-01
5000,19,2016-05-08-01
6000,18,2016-05-08-01
7000,7,2016-05-08-01
8000,4,2016-05-08-01
9000,5,2016-05-08-01
1,0,2016-05-04-00
2,0,2016-05-04-00
3,0,2016-05-04-00
4,1,2016-05-04-00
5,2,2016-05-04-00
6,4,2016-05-04-00
7,3,2016-05-04-00
8,7,2016-05-04-00
9,5,2016-05-04-00
10,144,2016-05-04-00
20,477,2016-05-04-00
30,759,2016-05-04-00
40,736,2016-05-04-00
50,608,2016-05-04-00
60,455,2016-05-04-00
70,373,2016-05-04-00
80,273,2016-05-04-00
90,226,2016-05-04-00
100,1714,2016-05-04-00
200,1332,2016-05-04-00
300,998,2016-05-04-00
400,339,2016-05-04-00
500,196,2016-05-04-00
600,109,2016-05-04-00
700,103,2016-05-04-00
800,59,2016-05-04-00
900,58,2016-05-04-00
1000,230,2016-05-04-00
2000,78,2016-05-04-00
3000,39,2016-05-04-00
4000,35,2016-05-04-00
5000,14,2016-05-04-00
6000,12,2016-05-04-00
7000,4,2016-05-04-00
8000,4,2016-05-04-00
9000,6,2016-05-04-00
1,0,2016-05-04-01
2,0,2016-05-04-01
3,0,2016-05-04-01
4,1,2016-05-04-01
5,0,2016-05-04-01
6,4,2016-05-04-01
7,4,2016-05-04-01
8,7,2016-05-04-01
9,4,2016-05-04-01
10,128,2016-05-04-01
20,504,2016-05-04-01
30,860,2016-05-04-01
40,799,2016-05-04-01
50,702,2016-05-04-01
60,461,2016-05-04-01
70,338,2016-05-04-01
80,299,2016-05-04-01
90,236,2016-05-04-01
100,1773,2016-05-04-01
200,1149,2016-05-04-01
300,984,2016-05-04-01
400,345,2016-05-04-01
500,190,2016-05-04-01
600,127,2016-05-04-01
700,88,2016-05-04-01
800,58,2016-05-04-01
900,45,2016-05-04-01
1000,219,2016-05-04-01
2000,74,2016-05-04-01
3000,35,2016-05-04-01
4000,19,2016-05-04-01
5000,19,2016-05-04-01
6000,11,2016-05-04-01
7000,10,2016-05-04-01
8000,10,2016-05-04-01
9000,9,2016-05-04-01
1,0,2016-05-10-04
2,0,2016-05-10-04
3,0,2016-05-10-04
4,0,2016-05-10-04
5,2,2016-05-10-04
6,0,2016-05-10-04
7,2,2016-05-10-04
8,2,2016-05-10-04
9,6,2016-05-10-04
10,112,2016-05-10-04
20,372,2016-05-10-04
30,606,2016-05-10-04
40,584,2016-05-10-04
50,442,2016-05-10-04
60,393,2016-05-10-04
70,303,2016-05-10-04
80,214,2016-05-10-04
90,195,2016-05-10-04
100,1965,2016-05-10-04
200,1610,2016-05-10-04
300,1206,2016-05-10-04
400,380,2016-05-10-04
500,228,2016-05-10-04
600,132,2016-05-10-04
700,93,2016-05-10-04
800,62,2016-05-10-04
900,66,2016-05-10-04
1000,239,2016-05-10-04
2000,97,2016-05-10-04
3000,33,2016-05-10-04
4000,24,2016-05-10-04
5000,15,2016-05-10-04
6000,10,2016-05-10-04
7000,10,2016-05-10-04
8000,7,2016-05-10-04
9000,4,2016-05-10-04
1,0,2016-05-04-03
2,0,2016-05-04-03
3,0,2016-05-04-03
4,1,2016-05-04-03
5,2,2016-05-04-03
6,1,2016-05-04-03
7,1,2016-05-04-03
8,3,2016-05-04-03
9,4,2016-05-04-03
10,90,2016-05-04-03
20,353,2016-05-04-03
30,592,2016-05-04-03
40,528,2016-05-04-03
50,444,2016-05-04-03
60,356,2016-05-04-03
70,326,2016-05-04-03
80,256,2016-05-04-03
90,240,2016-05-04-03
100,3093,2016-05-04-03
200,1390,2016-05-04-03
300,1155,2016-05-04-03
400,378,2016-05-04-03
500,223,2016-05-04-03
600,113,2016-05-04-03
700,89,2016-05-04-03
800,56,2016-05-04-03
900,55,2016-05-04-03
1000,191,2016-05-04-03
2000,79,2016-05-04-03
3000,39,2016-05-04-03
4000,24,2016-05-04-03
5000,9,2016-05-04-03
6000,7,2016-05-04-03
7000,10,2016-05-04-03
8000,3,2016-05-04-03
9000,6,2016-05-04-03
1,0,2016-05-04-04
2,0,2016-05-04-04
3,1,2016-05-04-04
4,1,2016-05-04-04
5,0,2016-05-04-04
6,1,2016-05-04-04
7,1,2016-05-04-04
8,2,2016-05-04-04
9,0,2016-05-04-04
10,61,2016-05-04-04
20,245,2016-05-04-04
30,381,2016-05-04-04
40,322,2016-05-04-04
50,256,2016-05-04-04
60,287,2016-05-04-04
70,280,2016-05-04-04
80,256,2016-05-04-04
90,197,2016-05-04-04
100,3749,2016-05-04-04
200,1313,2016-05-04-04
300,1217,2016-05-04-04
400,387,2016-05-04-04
500,180,2016-05-04-04
600,115,2016-05-04-04
700,64,2016-05-04-04
800,64,2016-05-04-04
900,32,2016-05-04-04
1000,164,2016-05-04-04
2000,56,2016-05-04-04
3000,27,2016-05-04-04
4000,16,2016-05-04-04
5000,12,2016-05-04-04
6000,8,2016-05-04-04
7000,6,2016-05-04-04
8000,4,2016-05-04-04
9000,6,2016-05-04-04
1,0,2016-05-06-02
2,1,2016-05-06-02
3,0,2016-05-06-02
4,0,2016-05-06-02
5,1,2016-05-06-02
6,1,2016-05-06-02
7,4,2016-05-06-02
8,6,2016-05-06-02
9,1,2016-05-06-02
10,98,2016-05-06-02
20,497,2016-05-06-02
30,810,2016-05-06-02
40,805,2016-05-06-02
50,710,2016-05-06-02
60,398,2016-05-06-02
70,404,2016-05-06-02
80,310,2016-05-06-02
90,212,2016-05-06-02
100,1843,2016-05-06-02
200,1404,2016-05-06-02
300,1131,2016-05-06-02
400,385,2016-05-06-02
500,206,2016-05-06-02
600,118,2016-05-06-02
700,95,2016-05-06-02
800,72,2016-05-06-02
900,58,2016-05-06-02
1000,230,2016-05-06-02
2000,80,2016-05-06-02
3000,32,2016-05-06-02
4000,28,2016-05-06-02
5000,15,2016-05-06-02
6000,10,2016-05-06-02
7000,12,2016-05-06-02
8000,7,2016-05-06-02
9000,8,2016-05-06-02
1,0,2016-05-08-06
2,0,2016-05-08-06
3,0,2016-05-08-06
4,0,2016-05-08-06
5,0,2016-05-08-06
6,0,2016-05-08-06
7,2,2016-05-08-06
8,4,2016-05-08-06
9,6,2016-05-08-06
10,150,2016-05-08-06
20,332,2016-05-08-06
30,489,2016-05-08-06
40,445,2016-05-08-06
50,365,2016-05-08-06
60,272,2016-05-08-06
70,265,2016-05-08-06
80,199,2016-05-08-06
90,165,2016-05-08-06
100,2086,2016-05-08-06
200,1585,2016-05-08-06
300,1315,2016-05-08-06
400,375,2016-05-08-06
500,229,2016-05-08-06
600,156,2016-05-08-06
700,102,2016-05-08-06
800,76,2016-05-08-06
900,47,2016-05-08-06
1000,235,2016-05-08-06
2000,105,2016-05-08-06
3000,39,2016-05-08-06
4000,32,2016-05-08-06
5000,18,2016-05-08-06
6000,19,2016-05-08-06
7000,6,2016-05-08-06
8000,3,2016-05-08-06
9000,2,2016-05-08-06
1,0,2016-05-04-07
2,0,2016-05-04-07
3,1,2016-05-04-07
4,0,2016-05-04-07
5,1,2016-05-04-07
6,0,2016-05-04-07
7,2,2016-05-04-07
8,2,2016-05-04-07
9,4,2016-05-04-07
10,66,2016-05-04-07
20,153,2016-05-04-07
30,227,2016-05-04-07
40,193,2016-05-04-07
50,156,2016-05-04-07
60,125,2016-05-04-07
70,151,2016-05-04-07
80,127,2016-05-04-07
90,84,2016-05-04-07
100,4474,2016-05-04-07
200,1413,2016-05-04-07
300,1436,2016-05-04-07
400,406,2016-05-04-07
500,212,2016-05-04-07
600,113,2016-05-04-07
700,70,2016-05-04-07
800,59,2016-05-04-07
900,40,2016-05-04-07
1000,195,2016-05-04-07
2000,79,2016-05-04-07
3000,28,2016-05-04-07
4000,25,2016-05-04-07
5000,12,2016-05-04-07
6000,14,2016-05-04-07
7000,7,2016-05-04-07
8000,6,2016-05-04-07
9000,6,2016-05-04-07
1,0,2016-05-05-07
2,0,2016-05-05-07
3,0,2016-05-05-07
4,0,2016-05-05-07
5,1,2016-05-05-07
6,0,2016-05-05-07
7,0,2016-05-05-07
8,3,2016-05-05-07
9,6,2016-05-05-07
10,64,2016-05-05-07
20,117,2016-05-05-07
30,177,2016-05-05-07
40,144,2016-05-05-07
50,143,2016-05-05-07
60,129,2016-05-05-07
70,138,2016-05-05-07
80,142,2016-05-05-07
90,98,2016-05-05-07
100,4314,2016-05-05-07
200,1559,2016-05-05-07
300,1261,2016-05-05-07
400,346,2016-05-05-07
500,206,2016-05-05-07
600,122,2016-05-05-07
700,73,2016-05-05-07
800,48,2016-05-05-07
900,43,2016-05-05-07
1000,178,2016-05-05-07
2000,84,2016-05-05-07
3000,27,2016-05-05-07
4000,23,2016-05-05-07
5000,12,2016-05-05-07
6000,13,2016-05-05-07
7000,7,2016-05-05-07
8000,5,2016-05-05-07
9000,13,2016-05-05-07
1,0,2016-05-04-08
2,0,2016-05-04-08
3,0,2016-05-04-08
4,0,2016-05-04-08
5,0,2016-05-04-08
6,0,2016-05-04-08
7,0,2016-05-04-08
8,1,2016-05-04-08
9,1,2016-05-04-08
10,97,2016-05-04-08
20,163,2016-05-04-08
30,181,2016-05-04-08
40,184,2016-05-04-08
50,142,2016-05-04-08
60,127,2016-05-04-08
70,132,2016-05-04-08
80,116,2016-05-04-08
90,105,2016-05-04-08
100,3941,2016-05-04-08
200,1424,2016-05-04-08
300,1311,2016-05-04-08
400,431,2016-05-04-08
500,230,2016-05-04-08
600,121,2016-05-04-08
700,89,2016-05-04-08
800,61,2016-05-04-08
900,60,2016-05-04-08
1000,187,2016-05-04-08
2000,77,2016-05-04-08
3000,36,2016-05-04-08
4000,35,2016-05-04-08
5000,11,2016-05-04-08
6000,21,2016-05-04-08
7000,6,2016-05-04-08
8000,5,2016-05-04-08
9000,5,2016-05-04-08
1,0,2016-05-09-08
2,0,2016-05-09-08
3,1,2016-05-09-08
4,3,2016-05-09-08
5,0,2016-05-09-08
6,3,2016-05-09-08
7,4,2016-05-09-08
8,9,2016-05-09-08
9,12,2016-05-09-08
10,190,2016-05-09-08
20,242,2016-05-09-08
30,310,2016-05-09-08
40,308,2016-05-09-08
50,276,2016-05-09-08
60,252,2016-05-09-08
70,176,2016-05-09-08
80,164,2016-05-09-08
90,160,2016-05-09-08
100,2062,2016-05-09-08
200,1691,2016-05-09-08
300,1363,2016-05-09-08
400,431,2016-05-09-08
500,260,2016-05-09-08
600,160,2016-05-09-08
700,128,2016-05-09-08
800,86,2016-05-09-08
900,68,2016-05-09-08
1000,263,2016-05-09-08
2000,131,2016-05-09-08
3000,49,2016-05-09-08
4000,29,2016-05-09-08
5000,20,2016-05-09-08
6000,22,2016-05-09-08
7000,10,2016-05-09-08
8000,10,2016-05-09-08
9000,5,2016-05-09-08
1,0,2016-05-07-12
2,0,2016-05-07-12
3,0,2016-05-07-12
4,0,2016-05-07-12
5,1,2016-05-07-12
6,1,2016-05-07-12
7,4,2016-05-07-12
8,10,2016-05-07-12
9,12,2016-05-07-12
10,221,2016-05-07-12
20,392,2016-05-07-12
30,502,2016-05-07-12
40,474,2016-05-07-12
50,434,2016-05-07-12
60,328,2016-05-07-12
70,296,2016-05-07-12
80,223,2016-05-07-12
90,166,2016-05-07-12
100,1931,2016-05-07-12
200,1549,2016-05-07-12
300,1200,2016-05-07-12
400,419,2016-05-07-12
500,242,2016-05-07-12
600,160,2016-05-07-12
700,111,2016-05-07-12
800,83,2016-05-07-12
900,51,2016-05-07-12
1000,262,2016-05-07-12
2000,122,2016-05-07-12
3000,49,2016-05-07-12
4000,29,2016-05-07-12
5000,18,2016-05-07-12
6000,17,2016-05-07-12
7000,7,2016-05-07-12
8000,14,2016-05-07-12
9000,11,2016-05-07-12
1,1,2016-05-04-10
2,0,2016-05-04-10
3,0,2016-05-04-10
4,7,2016-05-04-10
5,2,2016-05-04-10
6,5,2016-05-04-10
7,5,2016-05-04-10
8,2,2016-05-04-10
9,13,2016-05-04-10
10,182,2016-05-04-10
20,276,2016-05-04-10
30,421,2016-05-04-10
40,463,2016-05-04-10
50,404,2016-05-04-10
60,301,2016-05-04-10
70,211,2016-05-04-10
80,188,2016-05-04-10
90,150,2016-05-04-10
100,1990,2016-05-04-10
200,1553,2016-05-04-10
300,1255,2016-05-04-10
400,380,2016-05-04-10
500,234,2016-05-04-10
600,160,2016-05-04-10
700,98,2016-05-04-10
800,88,2016-05-04-10
900,67,2016-05-04-10
1000,302,2016-05-04-10
2000,116,2016-05-04-10
3000,44,2016-05-04-10
4000,43,2016-05-04-10
5000,22,2016-05-04-10
6000,14,2016-05-04-10
7000,13,2016-05-04-10
8000,9,2016-05-04-10
9000,10,2016-05-04-10
1,0,2016-05-05-11
2,0,2016-05-05-11
3,0,2016-05-05-11
4,1,2016-05-05-11
5,1,2016-05-05-11
6,10,2016-05-05-11
7,10,2016-05-05-11
8,8,2016-05-05-11
9,8,2016-05-05-11
10,141,2016-05-05-11
20,293,2016-05-05-11
30,422,2016-05-05-11
40,422,2016-05-05-11
50,446,2016-05-05-11
60,336,2016-05-05-11
70,295,2016-05-05-11
80,230,2016-05-05-11
90,191,2016-05-05-11
100,2109,2016-05-05-11
200,1506,2016-05-05-11
300,1204,2016-05-05-11
400,430,2016-05-05-11
500,257,2016-05-05-11
600,184,2016-05-05-11
700,125,2016-05-05-11
800,87,2016-05-05-11
900,73,2016-05-05-11
1000,274,2016-05-05-11
2000,109,2016-05-05-11
3000,57,2016-05-05-11
4000,41,2016-05-05-11
5000,19,2016-05-05-11
6000,16,2016-05-05-11
7000,14,2016-05-05-11
8000,8,2016-05-05-11
9000,5,2016-05-05-11
1,0,2016-05-04-11
2,0,2016-05-04-11
3,0,2016-05-04-11
4,3,2016-05-04-11
5,1,2016-05-04-11
6,0,2016-05-04-11
7,7,2016-05-04-11
8,10,2016-05-04-11
9,11,2016-05-04-11
10,158,2016-05-04-11
20,294,2016-05-04-11
30,482,2016-05-04-11
40,444,2016-05-04-11
50,442,2016-05-04-11
60,295,2016-05-04-11
70,288,2016-05-04-11
80,237,2016-05-04-11
90,180,2016-05-04-11
100,2049,2016-05-04-11
200,1485,2016-05-04-11
300,1261,2016-05-04-11
400,411,2016-05-04-11
500,251,2016-05-04-11
600,154,2016-05-04-11
700,114,2016-05-04-11
800,87,2016-05-04-11
900,72,2016-05-04-11
1000,272,2016-05-04-11
2000,106,2016-05-04-11
3000,54,2016-05-04-11
4000,29,2016-05-04-11
5000,45,2016-05-04-11
6000,17,2016-05-04-11
7000,8,2016-05-04-11
8000,14,2016-05-04-11
9000,6,2016-05-04-11
1,0,2016-05-04-12
2,1,2016-05-04-12
3,1,2016-05-04-12
4,4,2016-05-04-12
5,5,2016-05-04-12
6,8,2016-05-04-12
7,6,2016-05-04-12
8,9,2016-05-04-12
9,9,2016-05-04-12
10,170,2016-05-04-12
20,318,2016-05-04-12
30,454,2016-05-04-12
40,465,2016-05-04-12
50,367,2016-05-04-12
60,378,2016-05-04-12
70,269,2016-05-04-12
80,220,2016-05-04-12
90,218,2016-05-04-12
100,1925,2016-05-04-12
200,1437,2016-05-04-12
300,1215,2016-05-04-12
400,398,2016-05-04-12
500,264,2016-05-04-12
600,140,2016-05-04-12
700,107,2016-05-04-12
800,77,2016-05-04-12
900,55,2016-05-04-12
1000,282,2016-05-04-12
2000,103,2016-05-04-12
3000,44,2016-05-04-12
4000,33,2016-05-04-12
5000,8,2016-05-04-12
6000,23,2016-05-04-12
7000,14,2016-05-04-12
8000,10,2016-05-04-12
9000,7,2016-05-04-12
1,0,2016-05-06-12
2,1,2016-05-06-12
3,0,2016-05-06-12
4,4,2016-05-06-12
5,3,2016-05-06-12
6,12,2016-05-06-12
7,5,2016-05-06-12
8,8,2016-05-06-12
9,10,2016-05-06-12
10,168,2016-05-06-12
20,329,2016-05-06-12
30,428,2016-05-06-12
40,409,2016-05-06-12
50,440,2016-05-06-12
60,321,2016-05-06-12
70,282,2016-05-06-12
80,247,2016-05-06-12
90,181,2016-05-06-12
100,2033,2016-05-06-12
200,1541,2016-05-06-12
300,1197,2016-05-06-12
400,408,2016-05-06-12
500,231,2016-05-06-12
600,155,2016-05-06-12
700,119,2016-05-06-12
800,76,2016-05-06-12
900,62,2016-05-06-12
1000,305,2016-05-06-12
2000,105,2016-05-06-12
3000,53,2016-05-06-12
4000,48,2016-05-06-12
5000,23,2016-05-06-12
6000,25,2016-05-06-12
7000,7,2016-05-06-12
8000,7,2016-05-06-12
9000,11,2016-05-06-12
1,0,2016-05-11-12
2,1,2016-05-11-12
3,0,2016-05-11-12
4,2,2016-05-11-12
5,1,2016-05-11-12
6,6,2016-05-11-12
7,4,2016-05-11-12
8,9,2016-05-11-12
9,14,2016-05-11-12
10,161,2016-05-11-12
20,306,2016-05-11-12
30,438,2016-05-11-12
40,479,2016-05-11-12
50,400,2016-05-11-12
60,341,2016-05-11-12
70,305,2016-05-11-12
80,232,2016-05-11-12
90,192,2016-05-11-12
100,1898,2016-05-11-12
200,1538,2016-05-11-12
300,1249,2016-05-11-12
400,401,2016-05-11-12
500,219,2016-05-11-12
600,160,2016-05-11-12
700,116,2016-05-11-12
800,72,2016-05-11-12
900,67,2016-05-11-12
1000,267,2016-05-11-12
2000,96,2016-05-11-12
3000,54,2016-05-11-12
4000,32,2016-05-11-12
5000,24,2016-05-11-12
6000,17,2016-05-11-12
7000,15,2016-05-11-12
8000,12,2016-05-11-12
9000,10,2016-05-11-12
1,0,2016-05-04-14
2,1,2016-05-04-14
3,2,2016-05-04-14
4,3,2016-05-04-14
5,2,2016-05-04-14
6,4,2016-05-04-14
7,4,2016-05-04-14
8,6,2016-05-04-14
9,10,2016-05-04-14
10,200,2016-05-04-14
20,395,2016-05-04-14
30,486,2016-05-04-14
40,420,2016-05-04-14
50,406,2016-05-04-14
60,365,2016-05-04-14
70,268,2016-05-04-14
80,210,2016-05-04-14
90,190,2016-05-04-14
100,1891,2016-05-04-14
200,1458,2016-05-04-14
300,1148,2016-05-04-14
400,402,2016-05-04-14
500,248,2016-05-04-14
600,154,2016-05-04-14
700,101,2016-05-04-14
800,85,2016-05-04-14
900,54,2016-05-04-14
1000,266,2016-05-04-14
2000,105,2016-05-04-14
3000,55,2016-05-04-14
4000,35,2016-05-04-14
5000,25,2016-05-04-14
6000,23,2016-05-04-14
7000,9,2016-05-04-14
8000,8,2016-05-04-14
9000,9,2016-05-04-14
1,0,2016-05-07-14
2,0,2016-05-07-14
3,2,2016-05-07-14
4,0,2016-05-07-14
5,0,2016-05-07-14
6,0,2016-05-07-14
7,4,2016-05-07-14
8,6,2016-05-07-14
9,13,2016-05-07-14
10,208,2016-05-07-14
20,381,2016-05-07-14
30,549,2016-05-07-14
40,528,2016-05-07-14
50,473,2016-05-07-14
60,367,2016-05-07-14
70,317,2016-05-07-14
80,257,2016-05-07-14
90,187,2016-05-07-14
100,2066,2016-05-07-14
200,1443,2016-05-07-14
300,1184,2016-05-07-14
400,457,2016-05-07-14
500,279,2016-05-07-14
600,156,2016-05-07-14
700,98,2016-05-07-14
800,83,2016-05-07-14
900,77,2016-05-07-14
1000,251,2016-05-07-14
2000,96,2016-05-07-14
3000,43,2016-05-07-14
4000,39,2016-05-07-14
5000,20,2016-05-07-14
6000,25,2016-05-07-14
7000,3,2016-05-07-14
8000,15,2016-05-07-14
9000,6,2016-05-07-14
1,0,2016-05-04-15
2,0,2016-05-04-15
